nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,init_date,camera,field_fate,cam_fateNA,cam_fate,final_fate,nest_age,final_obs_int,final_obs_date,species,likely_failed,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
10012,RUTW,2019,29.76781,-93.16521,0,0,none,,37,21,N,H,TRUE,,H,19,40,40,LETE,0,19,40,40,40,40,,,5,21,0,2E,2C,19|23|26|35|40,2E|2E|2E|2E|2C,0|4|3|9|5,,,
10013,RUTW,2019,29.76876,-93.17068,10,15,none,,47,12,N,H,TRUE,,H,28,40,40,WIPL,1,19,40,40,40,40,,,5,21,0,?,cheeping,19|23|26|35|40,2E|not locate|not locate|?|cheeping,0|4|3|9|5,,," adults present, ""nesty"". could not find nest in veg"
10014,ROJH,2019,29.63622,-92.76917,0,0,sym,,41,22,N,D,TRUE,,D,4,26,26,LETE,1,20,20,20,26,26,,,2,6,0,1E,fail,20|26,1E|fail,0|6,,,"empty scrape, coyote and GC evidence around"
10015,ROJH,2019,29.63618,-92.76921,0,0,sym,,40,21,N,D,TRUE,,D,5,26,26,LETE,1,20,20,20,26,26,,,2,6,0,2E,fail,20|26,2E|fail,0|6,,,"empty scrape, coyote and GC evidence around"
10016,ROJH,2019,29.63626,-92.76968,0,0,sym,,41,22,N,D,TRUE,,D,4,26,26,LETE,1,20,20,20,26,26,,,2,6,0,1E,fail,20|26,1E|fail,0|6,,,"empty scrape, coyote and GC evidence around"
10017,ROJH,2019,29.6363,-92.77002,0,0,sym,,37,21,N,S,TRUE,,S,12,33,33,CONI,1,20,28,28,33,33,,,4,13,0,2E,fail,20|26|28|33,1E|2E|2E|fail,0|6|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10018,ROJH,2019,29.63759,-92.76788,0,0,sym,,,,N,D,TRUE,,D,,26,26,WIPL,,20,20,20,26,26,,,2,6,,3E,fail,20|26,3E|fail,0|6,,,"GC hole nearby, but unsure of predator type. the pair is scraping and preparing for a renest."
10019,ROCK,2019,29.66025,-92.82622,0,0,none,,53,25,N,S,TRUE,,S,6,31,31,WIPL,1,23,23,23,31,31,,,3,8,0,not check,fail,23|28|31,1E|not check|fail,0|5|3,,,strong south winds and storms
10020,ROCK,2019,29.66985,-92.85088,5,10,none,,38,22,N,S,TRUE,,S,9,31,31,CONI,1,23,28,28,31,31,,,3,8,0,2E,fail,23|28|31,2E|2E|fail,0|5|3,,,strong south winds and storms
10021,RUTW,2019,29.7615,-93.13543,,,sym,,42,23,N,Ca,TRUE,,Ca,16,39,39,LETE,1,25,34,34,39,39,,,6,14,0,BON,0E,25|29|32|33|34|39,2E|BON|BON|3E|BON|0E,0|4|3|1|1|5,,,
10022,RUTW,2019,29.7615,-93.13557,,,sym,,42,23,N,Ca,TRUE,,Ca,16,39,39,LETE,1,25,34,34,39,39,,,7,14,0,2E,0E,25|26|29|32|33|34|39,2E|BON|BON|BON|2E|2E|0E,0|1|3|3|1|1|5,,,
10024,RUTW,2019,29.76149,-93.13569,,,sym,,43,24,N,Ca,TRUE,,Ca,19,43,43,LETE,0,25,39,39,43,43,,,8,18,0,3E,fail,25|26|29|32|33|34|39|43,1E|BON|BON|BON|3E|BON|3E|fail,0|1|3|3|1|1|5|4,,,
10025,RUTW,2019,29.76152,-93.13572,,,sym,,43,24,N,Ca,TRUE,,Ca,15,39,39,LETE,1,25,33,33,39,39,,,6,14,0,2E,0E,25|26|29|32|33|39,1E|BON|BON|BON|2E|0E,0|1|3|3|1|6,,,
10026,RUTW,2019,29.76153,-93.13573,,,sym,,42,23,N,Ca,TRUE,,Ca,16,39,39,LETE,1,25,33,33,39,39,,,6,14,0,2E,0E,25|26|29|32|33|39,2E|BON|BON|BON|2E|0E,0|1|3|3|1|6,,,
10027,RUTW,2019,29.76156,-93.13577,,,sym,,42,23,N,Ca,TRUE,,Ca,16,39,39,LETE,1,25,33,33,39,39,,,6,14,0,3E,0E,25|26|29|32|33|39,2E|BON|BON|BON|3E|0E,0|1|3|3|1|6,,,
10028,RUTW,2019,29.76158,-93.13583,,,sym,,42,23,N,Ca,TRUE,,Ca,16,39,39,LETE,1,25,33,33,39,39,,,6,14,0,3E,0E,25|26|29|32|33|39,2E|BON|BON|BON|3E|0E,0|1|3|3|1|6,,,
10029,RUTW,2019,29.76157,-93.13584,,,sym,,43,24,N,Ca,TRUE,,Ca,15,39,39,LETE,1,25,33,33,39,39,,,6,14,0,2E,0E,25|26|29|32|33|39,2E|BON|BON|BON|2E|0E,0|1|3|3|1|6,,,
10030,RUTW,2019,29.76156,-93.13586,,,sym,,42,23,N,Ca,TRUE,,Ca,10,33,33,LETE,1,25,32,32,33,33,,,5,8,0,BON,fail,25|26|29|32|33,2E|BON|BON|BON|fail,0|1|3|3|1,,,trampled overnight by herd of cattle observed in fenced area on 13 May
10031,RUTW,2019,29.76174,-93.13648,,,sym,,43,24,N,Ca,TRUE,,Ca,9,33,33,LETE,1,25,32,32,33,33,,,5,8,0,BON,fail,25|26|29|32|33,2E|BON|BON|BON|fail,0|1|3|3|1,,,trampled overnight by herd of cattle observed in fenced area on 13 May
10032,RUTW,2019,29.76186,-93.13681,,,sym,,45,26,N,Ca,TRUE,,Ca,11,37,37,LETE,1,25,34,34,37,37,,,5,12,0,BON,fail,25|29|32|34|37,1E|3E|BON|BON|fail,0|4|3|2|3,,,trampled by cattle
10033,RUTW,2019,29.76199,-93.13726,,,sym,,45,26,Y,Ca,FALSE,Ca,Ca,8,2,34,LETE,1,25,32,32,34,34,,,5,9,0,BON,fail,25|26|29|32|34,1E|2E|3E|BON|fail,0|1|3|3|2,,,trampled overnight by herd of cattle observed in fenced area on 13 May
10034,RUTW,2019,29.76195,-93.1374,,,sym,,45,26,N,Ca,TRUE,,Ca,8,34,34,LETE,1,25,32,32,34,34,,,5,9,0,BON,fail,25|26|29|32|34,1E|BON|BON|BON|fail,0|1|3|3|2,,,trampled overnight by herd of cattle observed in fenced area on 13 May
10035,RUTW,2019,29.76203,-93.13754,,,sym,,43,26,N,H,TRUE,,H,19,45,45,LETE,0,25,45,45,45,45,,,8,20,0,3E,hatch day,25|26|29|32|34|39|43|45,2E|BON|BON|BON|3E|BON|3E|hatch day,0|1|3|3|2|5|4|2,,,cattle disturbance on May 13; 5/23: stick knocked over
10036,RUTW,2019,29.76206,-93.13769,,,sym,,45,29,N,H,TRUE,,H,19,48,48,LETE,0,25,48,48,48,48,,,10,23,0,3E,hatching,25|26|29|32|34|39|43|45|46|48,1E|1E|2E|BON|3E|BON|3E|BON|3E|hatching,0|1|3|3|2|5|4|2|1|2,,,
10037,RUTW,2019,29.7621,-93.13808,,,sym,,42,23,N,Ca,TRUE,,Ca,11,34,34,LETE,1,25,32,32,34,34,,,5,9,0,BON,fail,25|26|29|32|34,2E|BON|BON|BON|fail,0|1|3|3|2,,,trampled overnight by herd of cattle observed in fenced area on 13 May
10038,RUTW,2019,29.76242,-93.13933,,,none,,40,21,N,Ca,TRUE,,Ca,22,43,43,LETE,0,25,39,39,43,43,,,7,18,0,3E,0E,25|26|29|32|34|39|43,3E|not see|3E|BON|BON|3E|0E,0|1|3|3|2|5|4,,,"5/23: SB found stick, nest has 3 trampled eggs"
10039,RUTW,2019,29.7624,-93.13937,,,none,,45,26,N,F,TRUE,,F,6,32,32,LETE,1,25,29,29,32,32,,,4,7,0,3E,fail,25|26|29|32,1E|BON|3E|fail,0|1|3|3,,,
10040,RUTW,2019,29.76239,-93.13967,,,none,,40,21,N,Ca,TRUE,,Ca,11,32,32,LETE,1,25,29,29,32,32,,,4,7,0,3E,fail,25|26|29|32,2E|BON|3E|fail,0|1|3|3,,,
10041,RUTW,2019,29.76243,-93.13976,,,none,,45,26,N,Ca,TRUE,,Ca,6,32,32,LETE,1,25,29,29,32,32,,,4,7,0,2E,fail,25|26|29|32,1E|BON|2E|fail,0|1|3|3,,,
10042,RUTW,2019,29.76249,-93.13992,,,none,,45,26,N,Ca,TRUE,,Ca,6,32,32,LETE,1,25,29,29,32,32,,,3,7,0,1E,fail,25|29|32,1E|1E|fail,0|4|3,,,
10043,RUTW,2019,29.76261,-93.14024,,,none,,37,18,N,Ca,TRUE,,Ca,11,29,29,LETE,1,25,25,25,29,29,,,2,4,0,3E,1E,25|29,3E|1E,0|4,,,9-May loose egg spotted outside of nest scrape. Cattle tracks all around the area and no LETE activity here
10044,RUTW,2019,29.76262,-93.14032,,,none,,40,21,N,Ca,TRUE,,Ca,8,29,29,LETE,1,25,25,25,29,29,,,2,4,0,2E,0E,25|29,2E|0E,0|4,,,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.
10045,RUTW,2019,29.76262,-93.14041,,,none,,42,23,N,Ca,TRUE,,Ca,6,29,29,LETE,1,25,25,25,29,29,,,2,4,0,2E,0E,25|29,2E|0E,0|4,,,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.
10046,RUTW,2019,29.76352,-93.14488,0,0,none,,42,23,N,S,TRUE,,S,6,29,29,LETE,1,25,25,25,29,29,,,2,4,0,2E,fail,25|29,2E|fail,0|4,,,nest placement was below wrack line. 8 May- constant south winds brought surge with storms approaching late May 9th into May 10th.
10047,RUTW,2019,29.76375,-93.14532,,,none,,45,26,N,Ca,TRUE,,Ca,13,39,39,LETE,1,25,33,33,39,39,,,4,14,0,3E,0E,25|29|33|39,2E|3E|3E|0E,0|4|4|6,,,when was camera placed?/picked up?
10048,RUTW,2019,29.76377,-93.14546,,,none,,45,26,Y,U,FALSE,Hu,Hu,22,5,48,LETE,0,26,43,43,48,48,,,6,22,0,2E,no stick,25|29|33|39|43|48,1E|2E|3E|3E|2E|no stick,0|4|4|6|4|5,,lots of human/dog/vehicle/cattle disturbance,28 May- KBB adult above me. No nest stick or eggs. Possibly chick but heavy Memorial day traffic did a lot of damage to this area.
10049,RUTW,2019,29.76381,-93.14569,,,none,,40,21,N,U-F,TRUE,,U-F,27,48,48,LETE,0,26,43,43,48,48,,,7,22,1,1E,no stick,25|29|33|34|39|43|48,2E|2E|2E|2E|1E|1E|no stick,0|4|4|1|5|4|5,,,28 May- likely failed from Memorial Day traffic
10050,RUTW,2019,29.76383,-93.14576,,,none,,44,25,N,A,TRUE,,A,4,29,29,LETE,1,25,25,25,29,29,,,2,4,0,1E,fail,25|29,1E|fail,0|4,,,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.
10051,RUTW,2019,29.76386,-93.1458,,,none,,43,24,N,F,TRUE,,F,9,33,33,LETE,1,25,29,29,33,33,,,3,8,0,3E,fail,25|29|33,2E|3E|fail,0|4|4,,,"empty scrape, unknown cause no evidence confirming cause of failure"
10052,RUTW,2019,29.76404,-93.14674,,,none,,40,21,N,F,TRUE,,F,12,33,33,LETE,1,25,29,29,33,33,,,3,8,0,3E,fail,25|29|33,3E|3E|fail,0|4|4,,,"empty scrape, unknown cause no evidence confirming cause of failure"
10053,RUTW,2019,29.76409,-93.14695,,,none,,40,21,N,Ca,TRUE,,Ca,12,33,33,LETE,1,25,29,29,33,33,,,3,8,0,2E,fail,25|29|33,2E|2E|fail,0|4|4,,,cattle tracks all through the nest area
10054,RUTW,2019,29.76433,-93.14821,,,none,,43,24,N,D,TRUE,,D,9,33,33,LETE,1,25,29,29,33,33,,,3,8,0,2E,fail,25|29|33,2E|2E|fail,0|4|4,,,"coyote tracks at the nest, pictures from 13May"
10055,RUTW,2019,29.76453,-93.14896,,,none,,40,21,N,D,TRUE,,D,12,33,33,LETE,1,25,29,29,33,33,,,3,8,0,3E,fail,25|29|33,3E|3E|fail,0|4|4,,,"coyote tracks at the nest, pictures from 13May"
10056,RUTW,2019,29.76455,-93.14906,,,none,,44,25,N,D,TRUE,,D,8,33,33,LETE,1,25,29,29,33,33,,,3,8,0,1E,fail,25|29|33,1E|1E|fail,0|4|4,,,ghost crab hole at nest- pictures from 13 May
10057,ROJH,2019,29.63619,-92.76887,,,sym,,41,22,N,S,TRUE,,S,11,33,33,LETE,1,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,3E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10058,ROJH,2019,29.63622,-92.76918,,,sym,,41,22,N,S,TRUE,,S,11,33,33,LETE,1,26,28,28,33,33,,,3,7,0,2E,fail,26|28|33,2E|2E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10059,ROJH,2019,29.63626,-92.76952,,,sym,,46,27,N,S,TRUE,,S,6,33,33,LETE,1,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,2E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10060,ROJH,2019,29.63637,-92.77102,,,sym,,45,17,N,S,TRUE,,S,16,33,33,WIPL,1,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,3E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10061,ROJH,2019,29.63636,-92.77102,,,sym,,46,27,N,S,TRUE,,S,6,33,33,LETE,1,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,2E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10062,ROJH,2019,29.63633,-92.77042,,,sym,,41,22,N,S,TRUE,,S,11,33,33,LETE,1,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,3E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10063,ROJH,2019,29.63632,-92.77045,,,sym,,41,22,N,S,TRUE,,S,11,33,33,LETE,1,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,3E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10064,ROJH,2019,29.63621,-92.77026,,,sym,,47,28,N,S,TRUE,,S,0,28,28,LETE,1,26,26,26,28,28,,,2,2,0,1E,fail,26|28,1E|fail,0|2,,,nest placement was below wrack line. 8 May- constant south winds brought surge with storms approaching late May 9th into May 10th.
10065,ROJH,2019,29.63627,-92.7703,,,sym,,46,27,N,S,TRUE,,S,6,33,33,LETE,1,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,2E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10066,ROJH,2019,29.63623,-92.76861,5,5,sym,,50,22,N,S,TRUE,,S,11,33,33,WIPL,1,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,2E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10067,RUTW,2019,29.76706,-93.16145,,,none,,,,N,U-D,TRUE,,U-D,,35,35,LETE,,25,25,25,35,35,,,2,10,,2E,0E,26|35,2E|0E,0|9,,,coyote tracks nearby but could have failed beforehand
10068,RUTW,2019,29.76715,-93.16194,,,none,,,,N,U,TRUE,,U,,35,35,LETE,,26,26,26,35,35,,,2,9,,2E,2E,26|35,2E|2E,0|9,,,
10069,RUTW,2019,29.76752,-93.16377,2,2,none,,,,N,U,TRUE,,U,,40,40,LETE,,26,35,35,40,40,,,3,14,,3E,not f,26|35|40,3E|3E|not f,0|9|5,,,
10070,RUTW,2019,29.76759,-93.16413,2,2,none,,,,N,A,TRUE,,A,,35,35,LETE,,26,29,29,35,35,,,3,9,,3E,1E,26|29|35,3E|3E|1E,0|3|6,,,
10071,RUTW,2019,29.76762,-93.16428,0,0,none,,,,N,D,TRUE,,D,,29,29,LETE,,26,26,26,29,29,,,2,3,,2E,fail,26|29,2E|fail,0|3,,,9 May- scrape empty. No tracks around. Photo. 
10072,RUTW,2019,29.7677,-93.16454,5,10,none,,,25,Y,H,FALSE,H,H,19,4,44,LETE,,26,44,44,44,44,,,5,18,,3E,2C,26|29|35|40|44,2E|3E|3E|3E|2C,0|3|6|5|4,,,5/24 2 chicks HOW OLD
10073,RUTW,2019,29.76986,-93.17609,,,none,,,,N,U-H,TRUE,,U-H,,49,49,LETE,,26,44,44,49,49,,,5,23,,2E,0E,26|35|40|44|49,2E|2E|2E|2E|0E,0|9|5|4|5,,,agitated adults divebombing me; maybe hatched
10074,RUTW,2019,29.76991,-93.17629,,,none,,,,N,U,TRUE,,U,,44,44,LETE,,26,40,40,44,44,,,4,18,,3E,0E,26|35|40|44,3E|3E|3E|0E,0|9|5|4,,,
10075,RUTW,2019,29.76991,-93.17634,,,none,,,,N,F,TRUE,,F,,35,35,LETE,,26,26,26,35,35,,,2,9,,2E,0E,26|35,2E|0E,0|9,,,unhatched egg shell ofund nearby
10077,RUTW,2019,29.77043,-93.17932,0,0,none,,,21,N,H,TRUE,,H,19,40,40,LETE,,26,40,40,40,40,,,3,14,,3E,"2C, 1E",26|35|40,"3E|3E|2C, 1E",0|9|5,,,
10078,BROE,2019,29.77505,-93.28058,50,60,none,,46,16,N,H,TRUE,,H,29,45,45,WIPL,0,27,44,44,44,44,,,5,18,0,2E,"2C, 1-2 d",27|32|37|41|45,"2E|2E|2E|2E|2C, 1-2 d",0|5|5|4|1,,,one chick banded on 5/25. Family observed about 100-150m from nest
10079,BROW,2019,29.77334,-93.2925,50,75,none,,43,15,N,D,TRUE,,D,17,32,32,WIPL,1,27,27,27,32,32,,,2,5,0,3E,fail,27|32,3E|fail,0|5,,,"appeared the nest had survived the surge from recent storms between visits, and photos on 12 May show fresh coyote tracks through the nest. "
10080,BROW,2019,29.77261,-93.30148,5,10,none,,50,22,N,D,TRUE,,D,15,37,37,WIPL,1,27,32,32,37,37,,,3,10,0,3E,fail,27|32|37,3E|3E|fail,0|5|5,,,17 May nest empty and E5 banded female and her mate observed selecting a new nest site in a new location. Unknown predator- no tracks observed.
10081,BROW,2019,29.77281,-93.30322,5,5,none,,54,26,N,F,TRUE,,F,19,45,45,WIPL,1,27,37,37,45,45,,,5,18,0,unk,fail,27|32|37|41|45,1E|3E|3E|unk|fail,0|5|5|4|4,,,likely storm surge but nest was unable to be checked due to flooding. Could have been depredated between visits.
10082,BROW,2019,29.7725,-93.29737,0,0,none,,42,23,N,S,TRUE,,S,9,32,32,LETE,1,27,27,27,32,32,,,2,5,0,3E,fail,27|32,3E|fail,0|5,,,"storms between visits brought storm surge, overwashing the entire beach. This nest was mid-beach in the impact area"
10083,BROW,2019,29.7725,-93.29726,0,0,none,,45,26,N,S,TRUE,,S,6,32,32,LETE,1,27,27,27,32,32,,,2,5,0,2E,fail,27|32,2E|fail,0|5,,,"storms between visits brought storm surge, overwashing the entire beach. This nest was mid-beach in the impact area"
10084,BROW,2019,29.77272,-93.2955,5,5,none,,45,26,N,S,TRUE,,S,6,32,32,LETE,1,27,27,27,32,32,,,2,5,0,2E,fail,27|32,2E|fail,0|5,,,"storms between visits brought storm surge, overwashing the entire beach. This nest was mid-beach in the impact area"
10085,ROCK,2019,29.66836,-92.84666,0,5,none,,55,27,N,S,TRUE,,S,4,31,31,WIPL,1,28,28,28,31,31,,,2,3,0,1E,fail,28|31,1E|fail,0|3,,,storm surge from recent weather events 9-10 May
10086,ROJH,2019,29.63777,-92.76788,0,5,sym,,,,N,S,TRUE,,S,,33,33,LETE,,28,28,28,33,33,,,2,5,,2E,fail,28|33,2E|fail,0|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
10087,RUTW,2019,29.76355,-93.14461,90,95,none,,45,29,N,Hu,TRUE,,Hu,19,48,48,CONI,0,29,43,43,48,48,,,5,19,0,1E,fail,29|33|39|43|48,2E|2E|BON|1E|fail,0|4|6|4|5,,,28 May- KBB has photos of nest crushed by vehicle/ATV. egg shells
10088,RUTW,2019,29.76308,-93.14176,5,20,none,,,,N,F,TRUE,,F,,44,44,LETE,,29,43,43,44,44,,,9,15,,3E,fail,29|32|33|34|37|38|39|43|44,3E|3E|3E|3E|3E|BON|3E|3E|fail,0|3|1|1|3|1|1|4|1,,,17 May- KBB added symbolic fencing but had to pull it due to the adult hovering and not returning to the nest. Nest is on the edge of the dirt road through the cattle field. empty nest scrape on May 24. unknown cause. 
10090,RUTW,2019,29.76224,-93.13854,70,80,sym,,57,29,N,Ca,TRUE,,Ca,8,37,37,WIPL,1,34,34,34,37,37,,,2,3,0,2E,fail,34|37,2E|fail,0|3,,,trampled by cattle
10091,RUTW,2019,29.76234,-93.13966,20,30,sym,,47,28,N,U-H,TRUE,,U-H,26,54,54,LETE,0,34,48,48,54,54,,,6,20,1,3E,0E,34|39|43|45|48|54,3E|BON|3E|BON|3E|0E,0|5|4|2|3|6,,,3 June- SB had loud screaming/diving but no chicks found
10094,BROW,2019,29.77345,-93.29129,5,10,none,,66,38,N,S,TRUE,,S,3,41,41,WIPL,1,37,37,37,41,41,,,2,4,0,1E,0E,37|41,1E|0E,0|4,,,"1E found, half buried; nest area underwater"
10095,BROW,2019,29.77221,-93.29811,0,0,none,,58,39,N,S,TRUE,,S,2,41,41,LETE,1,37,37,37,41,41,,,2,4,0,1E,0E,37|41,1E|0E,0|4,,,nest area underwater; no eggs found - may have been predated first?
10096,BROW,2019,29.77238,-93.29714,0,0,none,,58,39,N,S,TRUE,,S,2,41,41,LETE,1,37,37,37,41,41,,,2,4,0,1E,0E,37|41,1E|0E,0|4,,,nest area underwater; no eggs found - may have been predated first?
10097,BROW,2019,29.77248,-93.29626,0,0,none,,58,39,N,S,TRUE,,S,2,41,41,LETE,1,37,37,37,41,41,,,2,4,0,1E,0E,37|41,1E|0E,0|4,,,nest area underwater; no eggs found - may have been predated first?
10098,BROW,2019,29.77264,-93.29575,0,0,none,,58,39,N,S,TRUE,,S,2,41,41,LETE,1,37,37,37,41,41,,,2,4,0,1E,0E,37|41,1E|0E,0|4,,,nest area underwater; no eggs found - may have been predated first?
10099,BROW,2019,29.77261,-93.29563,0,0,none,,55,36,N,S,TRUE,,S,5,41,41,LETE,1,37,37,37,41,41,,,2,4,0,1E,0E,37|41,1E|0E,0|4,,,nest area underwater; no eggs found - may have been predated first?
10100,BROW,2019,29.77262,-93.29558,0,0,none,,58,39,N,S,TRUE,,S,2,41,41,LETE,1,37,37,37,41,41,,,2,4,0,2E,0E,37|41,2E|0E,0|4,,,nest area underwater; no eggs found - may have been predated first?
10102,RUTW,2019,29.76786,-93.16526,5,10,none,,60,41,N,D,TRUE,,D,12,53,53,LETE,1,44,49,49,53,53,,,3,9,0,3E,empty,44|49|53,3E|3E|empty,0|5|4,,,
10103,RUTW,2019,29.763,-93.14137,5,5,none,,,,N,Hu,TRUE,,Hu,,46,46,LETE,,45,45,45,46,46,,,2,1,,3E,fail,45|46,3E|fail,0|1,,,run over. nest was along edge of cattle road during Memorial Day weekend.
10104,ROCK,2019,29.67584,-92.86582,10,15,none,,,,N,S,TRUE,,S,,62,62,CONI,,47,52,52,62,62,,,4,15,,not check,0E,47|52|55|62,2E|2E|not check|0E,0|5|3|7,,,
10105,ROCK,2019,29.67472,-92.86363,10,10,none,,,,N,S,TRUE,,S,,62,62,CONI,,47,52,52,62,62,,,4,15,,not check,0E,47|52|55|62,1E|2E|not check|0E,0|5|3|7,,,
10108,RUTW,2019,29.76144,-93.1355,0,5,sym,,63,44,N,F,TRUE,,F,17,61,61,LETE,0,48,54,54,61,61,,,4,13,0,BON,fail,48|50|54|61,2E|BON|BON|fail,0|2|4|7,,,check if cam was deployed on 3 jun
10109,RUTW,2019,29.76151,-93.13557,0,5,sym,,,,N,F,TRUE,,F,,61,61,LETE,,48,54,54,61,61,,,5,13,,BON,fail,48|50|53|54|61,2E|BON|BON|BON|fail,0|2|3|1|7,,,
10111,RUTW,2019,29.76952,-93.17429,10,15,none,,72,44,N,Ca,TRUE,,Ca,9,53,53,WIPL,1,49,49,49,53,53,,,2,4,0,3E,fail,49|53,3E|fail,0|4,,,trampled by cattle- June 2
